0.000000 0.036771 0.072391 0.108012 0.143633 0.179254 0.214875 0.250496 0.286117 0.321739 0.357363 0.000000 
0.000000 0.036822 0.072443 0.108063 0.143684 0.179305 0.214926 0.250548 0.286169 0.321790 0.357415 0.750000 
0.000000 0.036976 0.072596 0.108217 0.143838 0.179459 0.215080 0.250701 0.286322 0.321943 0.357569 1.500000 
0.000000 0.037232 0.072853 0.108473 0.144094 0.179715 0.215336 0.250957 0.286579 0.322200 0.357828 2.250000 
0.000000 0.037594 0.073214 0.108835 0.144456 0.180077 0.215698 0.251319 0.286940 0.322562 0.358192 3.000000 
0.000000 0.038063 0.073683 0.109304 0.144924 0.180545 0.216167 0.251788 0.287409 0.323030 0.358662 3.750000 
0.000000 0.038638 0.074258 0.109879 0.145500 0.181121 0.216742 0.252363 0.287984 0.323606 0.359241 4.500000 
0.000000 0.039319 0.074940 0.110560 0.146181 0.181802 0.217423 0.253044 0.288666 0.324287 0.359925 5.250000 
0.000000 0.040102 0.075722 0.111343 0.146964 0.182585 0.218206 0.253827 0.289448 0.325070 0.360711 6.000000 
0.000000 0.040978 0.076598 0.112219 0.147840 0.183461 0.219082 0.254703 0.290325 0.325946 0.361591 6.750000 
0.000000 0.041936 0.077557 0.113177 0.148798 0.184419 0.220040 0.255662 0.291283 0.326905 0.362553 7.500000 
0.000000 0.042961 0.078581 0.114202 0.149823 0.185444 0.221065 0.256686 0.292307 0.327930 0.363581 8.250000 
0.000000 0.044032 0.079653 0.115273 0.150894 0.186515 0.222136 0.257757 0.293379 0.329002 0.364657 9.000000 
0.000000 0.045129 0.080749 0.116370 0.151991 0.187612 0.223233 0.258854 0.294476 0.330101 0.365758 9.750000 
0.000000 0.046229 0.081849 0.117470 0.153091 0.188712 0.224333 0.259954 0.295576 0.331204 0.366863 10.500000 
0.000000 0.047310 0.082930 0.118551 0.154172 0.189793 0.225414 0.261035 0.296657 0.332290 0.367948 11.250000 
0.000000 0.048352 0.083972 0.119593 0.155213 0.190835 0.226456 0.262077 0.297699 0.333339 0.368995 12.000000 
0.000000 0.049339 0.084959 0.120580 0.156201 0.191822 0.227443 0.263064 0.298688 0.334334 0.369988 12.750000 
0.000000 0.050260 0.085880 0.121501 0.157121 0.192743 0.228364 0.263985 0.299612 0.335264 0.370914 13.500000 
0.000000 0.051106 0.086727 0.122347 0.157968 0.193589 0.229211 0.264833 0.300464 0.336121 0.371767 14.250000 
0.000000 0.051876 0.087496 0.123117 0.158738 0.194359 0.229980 0.265604 0.301241 0.336899 0.372542 15.000000 
0.000000 0.052568 0.088188 0.123809 0.159430 0.195051 0.230672 0.266298 0.301942 0.337600 0.373240 15.750000 
0.000000 0.053184 0.088804 0.124425 0.160046 0.195667 0.231290 0.266919 0.302569 0.338225 0.373863 16.500000 
0.000000 0.053729 0.089350 0.124970 0.160591 0.196213 0.231837 0.267472 0.303126 0.338778 0.374415 17.250000 
0.000000 0.054209 0.089829 0.125450 0.161071 0.196693 0.232319 0.267961 0.303618 0.339265 0.374901 18.000000 
0.000000 0.054630 0.090251 0.125872 0.161493 0.197116 0.232747 0.268395 0.304052 0.339694 0.375330 18.750000 
0.000000 0.055006 0.090626 0.126247 0.161869 0.197494 0.233131 0.268784 0.304438 0.340077 0.375713 19.500000 
0.000000 0.055352 0.090972 0.126593 0.162216 0.197845 0.233488 0.269145 0.304794 0.340431 0.376066 20.250000 
0.000002 0.055695 0.091315 0.126937 0.162562 0.198197 0.233846 0.269502 0.305147 0.340782 0.376417 21.000000 
0.000007 0.056074 0.091695 0.127318 0.162947 0.198588 0.234242 0.269895 0.305536 0.341170 0.376805 21.750000 
0.000027 0.056536 0.092158 0.127783 0.163417 0.199064 0.234720 0.270369 0.306006 0.341640 0.377276 22.500000 
0.000084 0.057095 0.092719 0.128349 0.163989 0.199642 0.235296 0.270941 0.306576 0.342209 0.377845 23.250000 
0.000234 0.057644 0.093271 0.128906 0.164553 0.200209 0.235860 0.271500 0.307133 0.342767 0.378402 24.000000 
0.000572 0.057813 0.093445 0.129087 0.164740 0.200395 0.236042 0.271678 0.307311 0.342945 0.378580 24.750000 
0.001208 0.057000 0.092640 0.128289 0.163944 0.199597 0.235239 0.270873 0.306506 0.342139 0.377775 25.500000 
0.002172 0.054790 0.090438 0.126093 0.161749 0.197397 0.233034 0.268667 0.304300 0.339933 0.375569 26.250000 
0.003264 0.051445 0.087101 0.122758 0.158412 0.194054 0.229689 0.265322 0.300954 0.336588 0.372223 27.000000 
0.004038 0.047738 0.083400 0.119058 0.154706 0.190345 0.225978 0.261610 0.297242 0.332876 0.368512 27.750000 
0.004127 0.044428 0.080094 0.115748 0.151392 0.187027 0.222659 0.258291 0.293923 0.329557 0.365193 28.500000 
0.003710 0.042122 0.077786 0.113436 0.149075 0.184708 0.220339 0.255971 0.291604 0.327238 0.362874 29.250000 
0.003443 0.041299 0.076959 0.112603 0.148239 0.183871 0.219502 0.255134 0.290767 0.326401 0.362037 30.000000 
0.003707 0.042169 0.077823 0.113462 0.149095 0.184727 0.220358 0.255990 0.291623 0.327257 0.362893 30.750000 
0.004121 0.044561 0.080209 0.115845 0.151478 0.187109 0.222740 0.258372 0.294005 0.329639 0.365276 31.500000 
0.004030 0.048061 0.083703 0.119337 0.154969 0.190600 0.226232 0.261864 0.297497 0.333131 0.368768 32.250000 
0.003256 0.052137 0.087776 0.123409 0.159040 0.194672 0.230303 0.265935 0.301568 0.337203 0.372840 33.000000 
