0.02	0.000255798567052689
0.04	0.00107554019494011
0.06	0.00251757502585455
0.08	0.00463456477560062
0.1	0.00747887495242512
0.12	0.0111044002397749
0.14	0.0155676137922744
0.16	0.02092834951305
0.18	0.0272504875680755
0.2	0.0346026187899725
0.22	0.0430587297729194
0.24	0.0526989368498119
0.26	0.0636102917286642
0.28	0.0758876800712756
0.3	0.0896348350379889
0.32	0.10496549011896
0.34	0.122004699196443
0.36	0.140890356744536
0.38	0.16177495754072
0.4	0.184827643539777
0.42	0.210236596089252
0.44	0.238211845060995
0.46	0.268988583570684
0.48	0.30283109888828
0.5	0.340037458444983

